Paper Title,Author Names,Author URLs,Conference Name,Conference Year
"Is Face Recognition Sexist? No, Gendered Hairstyles and Biology Are.",Vítor Albiero,https://dblp.org/pid/202/4816.html,BMVC,2020
"Is Face Recognition Sexist? No, Gendered Hairstyles and Biology Are.",Kevin W. Bowyer,https://dblp.org/pid/b/KevinWBowyer.html,BMVC,2020
SIA-GCN: A Spatial Information Aware Graph Neural Network with 2D Convolutions for Hand Pose Estimation.,Deying Kong,https://dblp.org/pid/176/1065.html,BMVC,2020
SIA-GCN: A Spatial Information Aware Graph Neural Network with 2D Convolutions for Hand Pose Estimation.,Haoyu Ma,https://dblp.org/pid/144/1634.html,BMVC,2020
SIA-GCN: A Spatial Information Aware Graph Neural Network with 2D Convolutions for Hand Pose Estimation.,Xiaohui Xie,https://dblp.org/pid/50/3969.html,BMVC,2020
Explicit Knowledge Distillation for 3D Hand Pose Estimation from Monocular RGB.,Yumeng Zhang,https://dblp.org/pid/26/4355.html,BMVC,2020
Explicit Knowledge Distillation for 3D Hand Pose Estimation from Monocular RGB.,Li Chen,https://dblp.org/pid/181/2847.html,BMVC,2020
Explicit Knowledge Distillation for 3D Hand Pose Estimation from Monocular RGB.,Yufeng Liu,https://dblp.org/pid/07/6778.html,BMVC,2020
Explicit Knowledge Distillation for 3D Hand Pose Estimation from Monocular RGB.,Wen Zheng,https://dblp.org/pid/96/780.html,BMVC,2020
Explicit Knowledge Distillation for 3D Hand Pose Estimation from Monocular RGB.,Jun-Hai Yong,https://dblp.org/pid/50/4074.html,BMVC,2020
Text Attribute Aggregation and Visual Feature Decomposition for Person Search.,Sara Iodice,https://dblp.org/pid/131/1792.html,BMVC,2020
Text Attribute Aggregation and Visual Feature Decomposition for Person Search.,Krystian Mikolajczyk,https://dblp.org/pid/96/433.html,BMVC,2020
Cross-Modal Hierarchical Modelling for Fine-Grained Sketch Based Image Retrieval.,Aneeshan Sain,https://dblp.org/pid/203/8684.html,BMVC,2020
Cross-Modal Hierarchical Modelling for Fine-Grained Sketch Based Image Retrieval.,Ayan Kumar Bhunia,https://dblp.org/pid/171/5204.html,BMVC,2020
Cross-Modal Hierarchical Modelling for Fine-Grained Sketch Based Image Retrieval.,Yongxin Yang,https://dblp.org/pid/150/4258.html,BMVC,2020
Cross-Modal Hierarchical Modelling for Fine-Grained Sketch Based Image Retrieval.,Tao Xiang,https://dblp.org/pid/22/4460.html,BMVC,2020
Cross-Modal Hierarchical Modelling for Fine-Grained Sketch Based Image Retrieval.,Yi-Zhe Song,https://dblp.org/pid/98/1684.html,BMVC,2020
WAMDA: Weighted Alignment of Sources for Multi-source Domain Adaptation.,Surbhi Aggarwal,https://dblp.org/pid/265/2404.html,BMVC,2020
WAMDA: Weighted Alignment of Sources for Multi-source Domain Adaptation.,Jogendra Nath Kundu,https://dblp.org/pid/185/0812.html,BMVC,2020
WAMDA: Weighted Alignment of Sources for Multi-source Domain Adaptation.,Venkatesh Babu Radhakrishnan,https://dblp.org/pid/20/6289.html,BMVC,2020
WAMDA: Weighted Alignment of Sources for Multi-source Domain Adaptation.,Anirban Chakraborty,https://dblp.org/pid/73/2286-1.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Siyang Yuan,https://dblp.org/pid/242/8930.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Ke Bai,https://dblp.org/pid/33/8570-1.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Liqun Chen,https://dblp.org/pid/22/150-1.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Yizhe Zhang,https://dblp.org/pid/132/4966-2.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Chenyang Tao,https://dblp.org/pid/170/6702.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Chunyuan Li,https://dblp.org/pid/64/9590.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Guoyin Wang,https://dblp.org/pid/05/3838-2.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Ricardo Henao,https://dblp.org/pid/27/3207.html,BMVC,2020
Advancing weakly supervised cross-domain alignment with optimal transport.,Lawrence Carin,https://dblp.org/pid/23/2168.html,BMVC,2020
Weakly-supervised Salient Instance Detection.,Xin Tian,https://dblp.org/pid/16/4804.html,BMVC,2020
Weakly-supervised Salient Instance Detection.,Ke Xu,https://dblp.org/pid/181/2626-10.html,BMVC,2020
Weakly-supervised Salient Instance Detection.,Xin Yang,https://dblp.org/pid/44/1152-11.html,BMVC,2020
Weakly-supervised Salient Instance Detection.,Baocai Yin,https://dblp.org/pid/91/4706.html,BMVC,2020
Weakly-supervised Salient Instance Detection.,Rynson W. H. Lau,https://dblp.org/pid/l/RynsonWHLau.html,BMVC,2020
Semantic Estimation of 3D Body Shape and Pose using Minimal Cameras.,Andrew Gilbert,https://dblp.org/pid/63/3257.html,BMVC,2020
Semantic Estimation of 3D Body Shape and Pose using Minimal Cameras.,Matthew Trumble,https://dblp.org/pid/129/9887.html,BMVC,2020
Semantic Estimation of 3D Body Shape and Pose using Minimal Cameras.,Adrian Hilton,https://dblp.org/pid/63/34.html,BMVC,2020
Semantic Estimation of 3D Body Shape and Pose using Minimal Cameras.,John P. Collomosse,https://dblp.org/pid/72/4504.html,BMVC,2020
Weakly Supervised Generative Network for Multiple 3D Human Pose Hypotheses.,Chen Li,https://dblp.org/pid/164/3294-38.html,BMVC,2020
Weakly Supervised Generative Network for Multiple 3D Human Pose Hypotheses.,Gim Hee Lee,https://dblp.org/pid/49/9455.html,BMVC,2020
