Paper Title,Author Names,Author URLs,Conference Name,Conference Year
"3D-Based Reasoning with Blocks, Support, and Stability.",Zhaoyin Jia,https://dblp.org/pid/68/8938.html,CVPR,2013
"3D-Based Reasoning with Blocks, Support, and Stability.",Andrew C. Gallagher,https://dblp.org/pid/73/259.html,CVPR,2013
"3D-Based Reasoning with Blocks, Support, and Stability.",Ashutosh Saxena,https://dblp.org/pid/82/6189.html,CVPR,2013
"3D-Based Reasoning with Blocks, Support, and Stability.",Tsuhan Chen,https://dblp.org/pid/c/TsuhanChen.html,CVPR,2013
Physically Plausible 3D Scene Tracking: The Single Actor Hypothesis.,Nikolaos Kyriazis,https://dblp.org/pid/41/9170.html,CVPR,2013
Physically Plausible 3D Scene Tracking: The Single Actor Hypothesis.,Antonis A. Argyros,https://dblp.org/pid/81/3715.html,CVPR,2013
Intrinsic Scene Properties from a Single RGB-D Image.,Jonathan T. Barron,https://dblp.org/pid/30/9988.html,CVPR,2013
Intrinsic Scene Properties from a Single RGB-D Image.,Jitendra Malik,https://dblp.org/pid/58/2944.html,CVPR,2013
Depth Acquisition from Density Modulated Binary Patterns.,Zhe Yang,https://dblp.org/pid/181/2876.html,CVPR,2013
Depth Acquisition from Density Modulated Binary Patterns.,Zhiwei Xiong,https://dblp.org/pid/54/6827.html,CVPR,2013
Depth Acquisition from Density Modulated Binary Patterns.,Yueyi Zhang,https://dblp.org/pid/124/7067.html,CVPR,2013
Depth Acquisition from Density Modulated Binary Patterns.,Jiao Wang,https://dblp.org/pid/30/5627.html,CVPR,2013
Depth Acquisition from Density Modulated Binary Patterns.,Feng Wu,https://dblp.org/pid/25/3972-1.html,CVPR,2013
Understanding Indoor Scenes Using 3D Geometric Phrases.,Wongun Choi,https://dblp.org/pid/04/8611.html,CVPR,2013
Understanding Indoor Scenes Using 3D Geometric Phrases.,Yu-Wei Chao,https://dblp.org/pid/44/10700.html,CVPR,2013
Understanding Indoor Scenes Using 3D Geometric Phrases.,Caroline Pantofaru,https://dblp.org/pid/76/6323.html,CVPR,2013
Understanding Indoor Scenes Using 3D Geometric Phrases.,Silvio Savarese,https://dblp.org/pid/50/3578.html,CVPR,2013
Rolling Riemannian Manifolds to Solve the Multi-class Classification Problem.,Rui Caseiro,https://dblp.org/pid/06/6058.html,CVPR,2013
Rolling Riemannian Manifolds to Solve the Multi-class Classification Problem.,Pedro Martins,https://dblp.org/pid/59/2784-4.html,CVPR,2013
Rolling Riemannian Manifolds to Solve the Multi-class Classification Problem.,João F. Henriques,https://dblp.org/pid/31/8617.html,CVPR,2013
Rolling Riemannian Manifolds to Solve the Multi-class Classification Problem.,Fatima Silva Leite,https://dblp.org/pid/63/11047.html,CVPR,2013
Rolling Riemannian Manifolds to Solve the Multi-class Classification Problem.,Jorge P. Batista,https://dblp.org/pid/26/4565.html,CVPR,2013
Exploring Compositional High Order Pattern Potentials for Structured Output Learning.,Yujia Li,https://dblp.org/pid/67/3069-1.html,CVPR,2013
Exploring Compositional High Order Pattern Potentials for Structured Output Learning.,Daniel Tarlow,https://dblp.org/pid/79/5873.html,CVPR,2013
Exploring Compositional High Order Pattern Potentials for Structured Output Learning.,Richard S. Zemel,https://dblp.org/pid/16/6366.html,CVPR,2013
Discrete MRF Inference of Marginal Densities for Non-uniformly Discretized Variable Space.,Masaki Saito,https://dblp.org/pid/89/6519.html,CVPR,2013
