"conference_name","conference_year","unique_author_count"
ECCV,2002,456
ECCV,2004,339
ECCV,2006,293
ECCV,2008,443
ECCV,2010,537
ECCV,2012,698
ECCV,2014,629
ECCV,2016,794
ECCV,2018,1798
ECCV,2020,3384
ECCV,2022,4125
