"conference_name","conference_year","unique_author_count"
CVPR,2003,457
CVPR,2004,430
CVPR,2005,525
CVPR,2006,409
CVPR,2007,798
CVPR,2008,603
CVPR,2009,456
CVPR,2010,543
CVPR,2011,487
CVPR,2012,598
CVPR,2013,569
CVPR,2014,529
CVPR,2015,767
CVPR,2016,866
CVPR,2017,1089
CVPR,2018,1470
CVPR,2019,2260
CVPR,2020,2671
CVPR,2021,2789
CVPR,2022,3892
CVPR,2023,4243
