Paper Title,Author Names,Author URLs,Conference Name,Conference Year
"TextonBoost: Joint Appearance, Shape and Context Modeling for Multi-class Object Recognition and Segmentation.",Jamie Shotton,https://dblp.org/pid/47/572.html,ECCV,2006
"TextonBoost: Joint Appearance, Shape and Context Modeling for Multi-class Object Recognition and Segmentation.",John M. Winn,https://dblp.org/pid/w/JohnMWinn.html,ECCV,2006
"TextonBoost: Joint Appearance, Shape and Context Modeling for Multi-class Object Recognition and Segmentation.",Carsten Rother,https://dblp.org/pid/r/CarstenRother.html,ECCV,2006
"TextonBoost: Joint Appearance, Shape and Context Modeling for Multi-class Object Recognition and Segmentation.",Antonio Criminisi,https://dblp.org/pid/c/AntonioCriminisi.html,ECCV,2006
Weakly Supervised Learning of Part-Based Spatial Models for Visual Object Recognition.,David J. Crandall,https://dblp.org/pid/c/DavidCrandall.html,ECCV,2006
Weakly Supervised Learning of Part-Based Spatial Models for Visual Object Recognition.,Daniel P. Huttenlocher,https://dblp.org/pid/h/DPHuttenlocher.html,ECCV,2006
Hyperfeatures - Multilevel Local Coding for Visual Recognition.,Ankur Agarwal,https://dblp.org/pid/a/AnkurAgarwal.html,ECCV,2006
Hyperfeatures - Multilevel Local Coding for Visual Recognition.,Bill Triggs,https://dblp.org/pid/49/1622.html,ECCV,2006
Riemannian Manifold Learning for Nonlinear Dimensionality Reduction.,Tony Lin,https://dblp.org/pid/35/6820.html,ECCV,2006
Riemannian Manifold Learning for Nonlinear Dimensionality Reduction.,Hongbin Zha,https://dblp.org/pid/20/5020.html,ECCV,2006
Riemannian Manifold Learning for Nonlinear Dimensionality Reduction.,Sang Uk Lee,https://dblp.org/pid/l/SangUkLee.html,ECCV,2006
Controlling Sparseness in Non-negative Tensor Factorization.,Matthias Heiler,https://dblp.org/pid/47/5745.html,ECCV,2006
Controlling Sparseness in Non-negative Tensor Factorization.,Christoph Schnörr,https://dblp.org/pid/59/5226.html,ECCV,2006
