Paper Title,Author Names,Author URLs,Conference Name,Conference Year
Lie Bodies: A Manifold Representation of 3D Human Shape.,Oren Freifeld,https://dblp.org/pid/96/5159.html,ECCV,2012
Lie Bodies: A Manifold Representation of 3D Human Shape.,Michael J. Black,https://dblp.org/pid/b/MichaelJBlack.html,ECCV,2012
Worldwide Pose Estimation Using 3D Point Clouds.,Yunpeng Li,https://dblp.org/pid/82/3013.html,ECCV,2012
Worldwide Pose Estimation Using 3D Point Clouds.,Noah Snavely,https://dblp.org/pid/33/4636.html,ECCV,2012
Worldwide Pose Estimation Using 3D Point Clouds.,Dan Huttenlocher,https://dblp.org/pid/h/DPHuttenlocher.html,ECCV,2012
Worldwide Pose Estimation Using 3D Point Clouds.,Pascal Fua,https://dblp.org/pid/f/PFua.html,ECCV,2012
Improved Reconstruction of Deforming Surfaces by Cancelling Ambient Occlusion.,Thabo Beeler,https://dblp.org/pid/46/8294.html,ECCV,2012
Improved Reconstruction of Deforming Surfaces by Cancelling Ambient Occlusion.,Derek Bradley,https://dblp.org/pid/57/3202.html,ECCV,2012
Improved Reconstruction of Deforming Surfaces by Cancelling Ambient Occlusion.,Henning Zimmer,https://dblp.org/pid/58/4616.html,ECCV,2012
Improved Reconstruction of Deforming Surfaces by Cancelling Ambient Occlusion.,Markus H. Gross,https://dblp.org/pid/g/MarkusHGross.html,ECCV,2012
On the Statistical Determination of Optimal Camera Configurations in Large Scale Surveillance Networks.,Junbin Liu,https://dblp.org/pid/86/8068.html,ECCV,2012
On the Statistical Determination of Optimal Camera Configurations in Large Scale Surveillance Networks.,Clinton Fookes,https://dblp.org/pid/03/5529.html,ECCV,2012
On the Statistical Determination of Optimal Camera Configurations in Large Scale Surveillance Networks.,Tim Wark,https://dblp.org/pid/65/2053.html,ECCV,2012
On the Statistical Determination of Optimal Camera Configurations in Large Scale Surveillance Networks.,Sridha Sridharan,https://dblp.org/pid/80/166.html,ECCV,2012
The Scale of Geometric Texture.,Geoffrey Oxholm,https://dblp.org/pid/85/8610.html,ECCV,2012
The Scale of Geometric Texture.,Prabin Bariya,https://dblp.org/pid/16/8654.html,ECCV,2012
The Scale of Geometric Texture.,Ko Nishino,https://dblp.org/pid/07/2706.html,ECCV,2012
Efficient Articulated Trajectory Reconstruction Using Dynamic Programming and Filters.,Jack Valmadre,https://dblp.org/pid/50/8535.html,ECCV,2012
Efficient Articulated Trajectory Reconstruction Using Dynamic Programming and Filters.,Yingying Zhu,https://dblp.org/pid/40/5552-4.html,ECCV,2012
Efficient Articulated Trajectory Reconstruction Using Dynamic Programming and Filters.,Sridha Sridharan,https://dblp.org/pid/80/166.html,ECCV,2012
Efficient Articulated Trajectory Reconstruction Using Dynamic Programming and Filters.,Simon Lucey,https://dblp.org/pid/01/3542.html,ECCV,2012
Object Co-detection.,Sid Ying-Ze Bao,https://dblp.org/pid/74/8652.html,ECCV,2012
Object Co-detection.,Yu Xiang,https://dblp.org/pid/00/6716.html,ECCV,2012
Object Co-detection.,Silvio Savarese,https://dblp.org/pid/50/3578.html,ECCV,2012
Morphable Displacement Field Based Image Matching for Face Recognition across Pose.,Shaoxin Li,https://dblp.org/pid/09/9606.html,ECCV,2012
Morphable Displacement Field Based Image Matching for Face Recognition across Pose.,Xin Liu,https://dblp.org/pid/76/1820-44.html,ECCV,2012
Morphable Displacement Field Based Image Matching for Face Recognition across Pose.,Xiujuan Chai,https://dblp.org/pid/57/6273.html,ECCV,2012
Morphable Displacement Field Based Image Matching for Face Recognition across Pose.,Haihong Zhang,https://dblp.org/pid/43/3254.html,ECCV,2012
Morphable Displacement Field Based Image Matching for Face Recognition across Pose.,Shihong Lao,https://dblp.org/pid/88/5273.html,ECCV,2012
Morphable Displacement Field Based Image Matching for Face Recognition across Pose.,Shiguang Shan,https://dblp.org/pid/s/ShiguangShan.html,ECCV,2012
Combining Per-frame and Per-track Cues for Multi-person Action Recognition.,Sameh Khamis,https://dblp.org/pid/117/4850.html,ECCV,2012
Combining Per-frame and Per-track Cues for Multi-person Action Recognition.,Vlad I. Morariu,https://dblp.org/pid/27/6671.html,ECCV,2012
Combining Per-frame and Per-track Cues for Multi-person Action Recognition.,Larry S. Davis,https://dblp.org/pid/d/LarrySDavis.html,ECCV,2012
Joint Image and Word Sense Discrimination for Image Retrieval.,Aurélien Lucchi,https://dblp.org/pid/14/5780.html,ECCV,2012
Joint Image and Word Sense Discrimination for Image Retrieval.,Jason Weston,https://dblp.org/pid/29/6977.html,ECCV,2012
Script Data for Attribute-Based Recognition of Composite Activities.,Marcus Rohrbach,https://dblp.org/pid/65/7271.html,ECCV,2012
Script Data for Attribute-Based Recognition of Composite Activities.,Michaela Regneri,https://dblp.org/pid/27/8159.html,ECCV,2012
Script Data for Attribute-Based Recognition of Composite Activities.,Mykhaylo Andriluka,https://dblp.org/pid/54/4495.html,ECCV,2012
Script Data for Attribute-Based Recognition of Composite Activities.,Sikandar Amin,https://dblp.org/pid/33/8676.html,ECCV,2012
Script Data for Attribute-Based Recognition of Composite Activities.,Manfred Pinkal,https://dblp.org/pid/63/2723.html,ECCV,2012
Script Data for Attribute-Based Recognition of Composite Activities.,Bernt Schiele,https://dblp.org/pid/s/BerntSchiele.html,ECCV,2012
Undoing the Damage of Dataset Bias.,Aditya Khosla,https://dblp.org/pid/01/8315.html,ECCV,2012
Undoing the Damage of Dataset Bias.,Tinghui Zhou,https://dblp.org/pid/118/3317.html,ECCV,2012
Undoing the Damage of Dataset Bias.,Tomasz Malisiewicz,https://dblp.org/pid/35/1902.html,ECCV,2012
Undoing the Damage of Dataset Bias.,Alexei A. Efros,https://dblp.org/pid/40/6158.html,ECCV,2012
Undoing the Damage of Dataset Bias.,Antonio Torralba,https://dblp.org/pid/t/AntonioBTorralba.html,ECCV,2012
Dog Breed Classification Using Part Localization.,Jiongxin Liu,https://dblp.org/pid/56/6877.html,ECCV,2012
Dog Breed Classification Using Part Localization.,Angjoo Kanazawa,https://dblp.org/pid/119/1305.html,ECCV,2012
Dog Breed Classification Using Part Localization.,David W. Jacobs,https://dblp.org/pid/j/DavidWJacobs.html,ECCV,2012
Dog Breed Classification Using Part Localization.,Peter N. Belhumeur,https://dblp.org/pid/12/5558.html,ECCV,2012
A Dictionary Learning Approach for Classification: Separating the Particularity and the Commonality.,Shu Kong,https://dblp.org/pid/26/11141.html,ECCV,2012
A Dictionary Learning Approach for Classification: Separating the Particularity and the Commonality.,Donghui Wang,https://dblp.org/pid/20/4854.html,ECCV,2012
Learning to Efficiently Detect Repeatable Interest Points in Depth Data.,Stefan Holzer,https://dblp.org/pid/67/6233.html,ECCV,2012
Learning to Efficiently Detect Repeatable Interest Points in Depth Data.,Jamie Shotton,https://dblp.org/pid/47/572.html,ECCV,2012
Learning to Efficiently Detect Repeatable Interest Points in Depth Data.,Pushmeet Kohli,https://dblp.org/pid/94/248.html,ECCV,2012
Effective Use of Frequent Itemset Mining for Image Classification.,Basura Fernando,https://dblp.org/pid/01/9558.html,ECCV,2012
Effective Use of Frequent Itemset Mining for Image Classification.,Élisa Fromont,https://dblp.org/pid/06/5764.html,ECCV,2012
Effective Use of Frequent Itemset Mining for Image Classification.,Tinne Tuytelaars,https://dblp.org/pid/79/2382.html,ECCV,2012
Efficient Discriminative Projections for Compact Binary Descriptors.,Tomasz Trzcinski,https://dblp.org/pid/05/11408.html,ECCV,2012
Efficient Discriminative Projections for Compact Binary Descriptors.,Vincent Lepetit,https://dblp.org/pid/80/5556.html,ECCV,2012
Descriptor Learning Using Convex Optimisation.,Karen Simonyan,https://dblp.org/pid/78/470.html,ECCV,2012
Descriptor Learning Using Convex Optimisation.,Andrea Vedaldi,https://dblp.org/pid/99/2825.html,ECCV,2012
Descriptor Learning Using Convex Optimisation.,Andrew Zisserman,https://dblp.org/pid/z/AndrewZisserman.html,ECCV,2012
Bottom-Up Perceptual Organization of Images into Object Part Hypotheses.,Maruthi Narayanan,https://dblp.org/pid/117/8252.html,ECCV,2012
Bottom-Up Perceptual Organization of Images into Object Part Hypotheses.,Benjamin B. Kimia,https://dblp.org/pid/90/2917.html,ECCV,2012
Match Graph Construction for Large Image Databases.,Kwang In Kim,https://dblp.org/pid/49/1431.html,ECCV,2012
Match Graph Construction for Large Image Databases.,James Tompkin,https://dblp.org/pid/95/7687.html,ECCV,2012
Match Graph Construction for Large Image Databases.,Martin Theobald,https://dblp.org/pid/t/MartinTheobald.html,ECCV,2012
Match Graph Construction for Large Image Databases.,Jan Kautz,https://dblp.org/pid/48/6214.html,ECCV,2012
Match Graph Construction for Large Image Databases.,Christian Theobalt,https://dblp.org/pid/55/3346.html,ECCV,2012
Modeling Complex Temporal Composition of Actionlets for Activity Prediction.,Kang Li,https://dblp.org/pid/181/2763.html,ECCV,2012
Modeling Complex Temporal Composition of Actionlets for Activity Prediction.,Jie Hu,https://dblp.org/pid/90/5064-8.html,ECCV,2012
Modeling Complex Temporal Composition of Actionlets for Activity Prediction.,Yun Fu,https://dblp.org/pid/00/5815-1.html,ECCV,2012
Learning Human Interaction by Interactive Phrases.,Yu Kong,https://dblp.org/pid/55/3630.html,ECCV,2012
Learning Human Interaction by Interactive Phrases.,Yunde Jia,https://dblp.org/pid/71/2334.html,ECCV,2012
Learning Human Interaction by Interactive Phrases.,Yun Fu,https://dblp.org/pid/00/5815-1.html,ECCV,2012
Learning to Recognize Daily Actions Using Gaze.,Alireza Fathi,https://dblp.org/pid/70/3898.html,ECCV,2012
Learning to Recognize Daily Actions Using Gaze.,Yin Li,https://dblp.org/pid/49/5981-3.html,ECCV,2012
Learning to Recognize Daily Actions Using Gaze.,James M. Rehg,https://dblp.org/pid/r/JMRehg.html,ECCV,2012
Gait Recognition by Ranking.,Raúl Martín-Félez,https://dblp.org/pid/59/8345.html,ECCV,2012
Gait Recognition by Ranking.,Tao Xiang,https://dblp.org/pid/22/4460.html,ECCV,2012
Semi-intrinsic Mean Shift on Riemannian Manifolds.,Rui Caseiro,https://dblp.org/pid/06/6058.html,ECCV,2012
Semi-intrinsic Mean Shift on Riemannian Manifolds.,João F. Henriques,https://dblp.org/pid/31/8617.html,ECCV,2012
Semi-intrinsic Mean Shift on Riemannian Manifolds.,Pedro Martins,https://dblp.org/pid/59/2784-4.html,ECCV,2012
Semi-intrinsic Mean Shift on Riemannian Manifolds.,Jorge P. Batista,https://dblp.org/pid/26/4565.html,ECCV,2012
Efficient Nonlocal Regularization for Optical Flow.,Philipp Krähenbühl,https://dblp.org/pid/43/7592.html,ECCV,2012
Efficient Nonlocal Regularization for Optical Flow.,Vladlen Koltun,https://dblp.org/pid/66/5458.html,ECCV,2012
Fast Fusion Moves for Multi-model Estimation.,Andrew Delong,https://dblp.org/pid/61/5751.html,ECCV,2012
Fast Fusion Moves for Multi-model Estimation.,Olga Veksler,https://dblp.org/pid/v/OlgaVeksler.html,ECCV,2012
Fast Fusion Moves for Multi-model Estimation.,Yuri Boykov,https://dblp.org/pid/b/YuriBoykov.html,ECCV,2012
Approximate MRF Inference Using Bounded Treewidth Subgraphs.,Alexander Fix,https://dblp.org/pid/70/10771.html,ECCV,2012
Approximate MRF Inference Using Bounded Treewidth Subgraphs.,Joyce Chen,https://dblp.org/pid/40/1328.html,ECCV,2012
Approximate MRF Inference Using Bounded Treewidth Subgraphs.,Endre Boros,https://dblp.org/pid/54/2172.html,ECCV,2012
Approximate MRF Inference Using Bounded Treewidth Subgraphs.,Ramin Zabih,https://dblp.org/pid/z/RaminZabih.html,ECCV,2012
Recursive Bilateral Filtering.,Qingxiong Yang,https://dblp.org/pid/y/QingxiongYang.html,ECCV,2012
Accelerated Large Scale Optimization by Concomitant Hashing.,Yadong Mu,https://dblp.org/pid/55/1817.html,ECCV,2012
Accelerated Large Scale Optimization by Concomitant Hashing.,John Wright,https://dblp.org/pid/10/3047-1.html,ECCV,2012
Accelerated Large Scale Optimization by Concomitant Hashing.,Shih-Fu Chang,https://dblp.org/pid/c/ShihFuChang.html,ECCV,2012
Graph Degree Linkage: Agglomerative Clustering on a Directed Graph.,Wei Zhang,https://dblp.org/pid/239/6045.html,ECCV,2012
Graph Degree Linkage: Agglomerative Clustering on a Directed Graph.,Xiaogang Wang,https://dblp.org/pid/91/6236-1.html,ECCV,2012
Graph Degree Linkage: Agglomerative Clustering on a Directed Graph.,Deli Zhao,https://dblp.org/pid/77/1992.html,ECCV,2012
Graph Degree Linkage: Agglomerative Clustering on a Directed Graph.,Xiaoou Tang,https://dblp.org/pid/04/5226.html,ECCV,2012
Supervised Earth Mover's Distance Learning and Its Computer Vision Applications.,Fan Wang,https://dblp.org/pid/88/898.html,ECCV,2012
Supervised Earth Mover's Distance Learning and Its Computer Vision Applications.,Leonidas J. Guibas,https://dblp.org/pid/g/LeonidasJGuibas.html,ECCV,2012
Global Optimization of Object Pose and Motion from a Single Rolling Shutter Image with Automatic 2D-3D Matching.,Ludovic Magerand,https://dblp.org/pid/119/1373.html,ECCV,2012
Global Optimization of Object Pose and Motion from a Single Rolling Shutter Image with Automatic 2D-3D Matching.,Adrien Bartoli,https://dblp.org/pid/58/2064.html,ECCV,2012
Global Optimization of Object Pose and Motion from a Single Rolling Shutter Image with Automatic 2D-3D Matching.,Omar Ait-Aider,https://dblp.org/pid/47/2322.html,ECCV,2012
Global Optimization of Object Pose and Motion from a Single Rolling Shutter Image with Automatic 2D-3D Matching.,Daniel Pizarro,https://dblp.org/pid/134/1623.html,ECCV,2012
Online Learning of Linear Predictors for Real-Time Tracking.,Stefan Holzer,https://dblp.org/pid/67/6233.html,ECCV,2012
Online Learning of Linear Predictors for Real-Time Tracking.,Marc Pollefeys,https://dblp.org/pid/p/MarcPollefeys.html,ECCV,2012
Online Learning of Linear Predictors for Real-Time Tracking.,Slobodan Ilic,https://dblp.org/pid/76/20.html,ECCV,2012
Online Learning of Linear Predictors for Real-Time Tracking.,David Joseph Tan,https://dblp.org/pid/119/1285.html,ECCV,2012
Online Learning of Linear Predictors for Real-Time Tracking.,Nassir Navab,https://dblp.org/pid/n/NassirNavab.html,ECCV,2012
Online Learned Discriminative Part-Based Appearance Models for Multi-human Tracking.,Bo Yang,https://dblp.org/pid/46/999-8.html,ECCV,2012
Online Learned Discriminative Part-Based Appearance Models for Multi-human Tracking.,Ram Nevatia,https://dblp.org/pid/n/RamakantNevatia.html,ECCV,2012
Exposure Stacks of Live Scenes with Hand-Held Cameras.,Jun Hu,https://dblp.org/pid/28/441-7.html,ECCV,2012
Exposure Stacks of Live Scenes with Hand-Held Cameras.,Orazio Gallo,https://dblp.org/pid/92/3734.html,ECCV,2012
Exposure Stacks of Live Scenes with Hand-Held Cameras.,Kari Pulli,https://dblp.org/pid/61/5171.html,ECCV,2012
Dual-Force Metric Learning for Robust Distracter-Resistant Tracker.,Zhibin Hong,https://dblp.org/pid/119/1422.html,ECCV,2012
Dual-Force Metric Learning for Robust Distracter-Resistant Tracker.,Xue Mei,https://dblp.org/pid/29/4521.html,ECCV,2012
Dual-Force Metric Learning for Robust Distracter-Resistant Tracker.,Dacheng Tao,https://dblp.org/pid/46/3391.html,ECCV,2012
Shape and Reflectance from Natural Illumination.,Geoffrey Oxholm,https://dblp.org/pid/85/8610.html,ECCV,2012
Shape and Reflectance from Natural Illumination.,Ko Nishino,https://dblp.org/pid/07/2706.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Di Wu,https://dblp.org/pid/52/328-6.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Gordon Wetzstein,https://dblp.org/pid/13/4660.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Christopher Barsi,https://dblp.org/pid/119/1267.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Thomas Willwacher,https://dblp.org/pid/71/3787.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Matthew O'Toole,https://dblp.org/pid/76/1129.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Nikhil Naik,https://dblp.org/pid/43/7797.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Qionghai Dai,https://dblp.org/pid/39/4543.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Kyros Kutulakos,https://dblp.org/pid/64/4875.html,ECCV,2012
Frequency Analysis of Transient Light Transport with Applications in Bare Sensor Imaging.,Ramesh Raskar,https://dblp.org/pid/r/RameshRaskar.html,ECCV,2012
Nonuniform Lattice Regression for Modeling the Camera Imaging Pipeline.,Hai Ting Lin,https://dblp.org/pid/99/8316.html,ECCV,2012
Nonuniform Lattice Regression for Modeling the Camera Imaging Pipeline.,Zheng Lu,https://dblp.org/pid/15/2402-2.html,ECCV,2012
Nonuniform Lattice Regression for Modeling the Camera Imaging Pipeline.,Seon Joo Kim,https://dblp.org/pid/94/5528.html,ECCV,2012
Nonuniform Lattice Regression for Modeling the Camera Imaging Pipeline.,Michael S. Brown,https://dblp.org/pid/02/4733.html,ECCV,2012
Context-Based Automatic Local Image Enhancement.,Sung Ju Hwang,https://dblp.org/pid/52/8653.html,ECCV,2012
Context-Based Automatic Local Image Enhancement.,Ashish Kapoor,https://dblp.org/pid/93/161.html,ECCV,2012
Context-Based Automatic Local Image Enhancement.,Sing Bing Kang,https://dblp.org/pid/k/SingBingKang.html,ECCV,2012
Segmentation with Non-linear Regional Constraints via Line-Search Cuts.,Lena Gorelick,https://dblp.org/pid/59/4850.html,ECCV,2012
Segmentation with Non-linear Regional Constraints via Line-Search Cuts.,Frank R. Schmidt,https://dblp.org/pid/94/71.html,ECCV,2012
Segmentation with Non-linear Regional Constraints via Line-Search Cuts.,Yuri Boykov,https://dblp.org/pid/b/YuriBoykov.html,ECCV,2012
Segmentation with Non-linear Regional Constraints via Line-Search Cuts.,Andrew Delong,https://dblp.org/pid/61/5751.html,ECCV,2012
Segmentation with Non-linear Regional Constraints via Line-Search Cuts.,Aaron D. Ward,https://dblp.org/pid/88/5058.html,ECCV,2012
Hausdorff Distance Constraint for Multi-surface Segmentation.,Frank R. Schmidt,https://dblp.org/pid/94/71.html,ECCV,2012
Hausdorff Distance Constraint for Multi-surface Segmentation.,Yuri Boykov,https://dblp.org/pid/b/YuriBoykov.html,ECCV,2012
Background Subtraction Using Low Rank and Group Sparsity Constraints.,Xinyi Cui,https://dblp.org/pid/45/2789.html,ECCV,2012
Background Subtraction Using Low Rank and Group Sparsity Constraints.,Junzhou Huang,https://dblp.org/pid/22/1170.html,ECCV,2012
Background Subtraction Using Low Rank and Group Sparsity Constraints.,Shaoting Zhang,https://dblp.org/pid/53/3894.html,ECCV,2012
Background Subtraction Using Low Rank and Group Sparsity Constraints.,Dimitris N. Metaxas,https://dblp.org/pid/m/DNMetaxas.html,ECCV,2012
Free Hand-Drawn Sketch Segmentation.,Zhenbang Sun,https://dblp.org/pid/119/1328.html,ECCV,2012
Free Hand-Drawn Sketch Segmentation.,Changhu Wang,https://dblp.org/pid/30/3393.html,ECCV,2012
Free Hand-Drawn Sketch Segmentation.,Liqing Zhang,https://dblp.org/pid/20/4627-1.html,ECCV,2012
Free Hand-Drawn Sketch Segmentation.,Lei Zhang,https://dblp.org/pid/z/LeiZhang.html,ECCV,2012
Auto-Grouped Sparse Representation for Visual Analysis.,Jiashi Feng,https://dblp.org/pid/56/8278.html,ECCV,2012
Auto-Grouped Sparse Representation for Visual Analysis.,Xiaotong Yuan,https://dblp.org/pid/64/5926.html,ECCV,2012
Auto-Grouped Sparse Representation for Visual Analysis.,Zilei Wang,https://dblp.org/pid/49/1878.html,ECCV,2012
Auto-Grouped Sparse Representation for Visual Analysis.,Huan Xu,https://dblp.org/pid/35/2843.html,ECCV,2012
Auto-Grouped Sparse Representation for Visual Analysis.,Shuicheng Yan,https://dblp.org/pid/y/ShuichengYan.html,ECCV,2012
A QCQP Approach to Triangulation.,Chris Aholt,https://dblp.org/pid/52/9884.html,ECCV,2012
A QCQP Approach to Triangulation.,Sameer Agarwal,https://dblp.org/pid/77/4196-1.html,ECCV,2012
A QCQP Approach to Triangulation.,Rekha R. Thomas,https://dblp.org/pid/70/3544.html,ECCV,2012
Reconstructing the World's Museums.,Jianxiong Xiao,https://dblp.org/pid/57/5248.html,ECCV,2012
Reconstructing the World's Museums.,Yasutaka Furukawa,https://dblp.org/pid/37/1720.html,ECCV,2012
Background Inpainting for Videos with Dynamic Objects and a Free-Moving Camera.,Miguel Granados,https://dblp.org/pid/28/6054.html,ECCV,2012
