paper_title,author_name,author_link,conference_name,conference_year
HOGgles: Visualizing Object Detection Features.,Carl Vondrick,https://dblp.org/pid/26/8610.html,ICCV,2013
HOGgles: Visualizing Object Detection Features.,Aditya Khosla,https://dblp.org/pid/01/8315.html,ICCV,2013
HOGgles: Visualizing Object Detection Features.,Tomasz Malisiewicz,https://dblp.org/pid/35/1902.html,ICCV,2013
HOGgles: Visualizing Object Detection Features.,Antonio Torralba,https://dblp.org/pid/t/AntonioBTorralba.html,ICCV,2013
How Do You Tell a Blackbird from a Crow?,Thomas Berg,https://dblp.org/pid/41/4167.html,ICCV,2013
How Do You Tell a Blackbird from a Crow?,Peter N. Belhumeur,https://dblp.org/pid/12/5558.html,ICCV,2013
Regionlets for Generic Object Detection.,Xiaoyu Wang,https://dblp.org/pid/58/4775-2.html,ICCV,2013
Regionlets for Generic Object Detection.,Ming Yang,https://dblp.org/pid/98/2604-7.html,ICCV,2013
Regionlets for Generic Object Detection.,Shenghuo Zhu,https://dblp.org/pid/81/4341.html,ICCV,2013
Regionlets for Generic Object Detection.,Yuanqing Lin,https://dblp.org/pid/97/2644.html,ICCV,2013
Learning Graphs to Match.,Minsu Cho,https://dblp.org/pid/93/4742.html,ICCV,2013
Learning Graphs to Match.,Karteek Alahari,https://dblp.org/pid/a/KarteekAlahari.html,ICCV,2013
Learning Graphs to Match.,Jean Ponce,https://dblp.org/pid/p/JeanPonce.html,ICCV,2013
Shape Anchors for Data-Driven Multi-view Reconstruction.,Andrew Owens,https://dblp.org/pid/85/2697.html,ICCV,2013
Shape Anchors for Data-Driven Multi-view Reconstruction.,Jianxiong Xiao,https://dblp.org/pid/57/5248.html,ICCV,2013
Shape Anchors for Data-Driven Multi-view Reconstruction.,Antonio Torralba,https://dblp.org/pid/t/AntonioBTorralba.html,ICCV,2013
Shape Anchors for Data-Driven Multi-view Reconstruction.,William T. Freeman,https://dblp.org/pid/86/6650.html,ICCV,2013
Deterministic Fitting of Multiple Structures Using Iterative MaxFS with Inlier Scale Estimation.,Kwang Hee Lee,https://dblp.org/pid/63/563.html,ICCV,2013
Deterministic Fitting of Multiple Structures Using Iterative MaxFS with Inlier Scale Estimation.,Sang Wook Lee,https://dblp.org/pid/15/151.html,ICCV,2013
Constant Time Weighted Median Filtering for Stereo Matching and Beyond.,Ziyang Ma,https://dblp.org/pid/138/5915.html,ICCV,2013
Constant Time Weighted Median Filtering for Stereo Matching and Beyond.,Kaiming He,https://dblp.org/pid/34/7659.html,ICCV,2013
Constant Time Weighted Median Filtering for Stereo Matching and Beyond.,Yichen Wei,https://dblp.org/pid/49/944.html,ICCV,2013
Constant Time Weighted Median Filtering for Stereo Matching and Beyond.,Jian Sun,https://dblp.org/pid/68/4942-1.html,ICCV,2013
Constant Time Weighted Median Filtering for Stereo Matching and Beyond.,Enhua Wu,https://dblp.org/pid/20/6592.html,ICCV,2013
Refractive Structure-from-Motion on Underwater Images.,Anne Jordt-Sedlazeck,https://dblp.org/pid/83/8483.html,ICCV,2013
Refractive Structure-from-Motion on Underwater Images.,Reinhard Koch,https://dblp.org/pid/55/6577.html,ICCV,2013
Live Metric 3D Reconstruction on Mobile Phones.,Petri Tanskanen,https://dblp.org/pid/47/8610.html,ICCV,2013
Live Metric 3D Reconstruction on Mobile Phones.,Kalin Kolev,https://dblp.org/pid/67/4844.html,ICCV,2013
Live Metric 3D Reconstruction on Mobile Phones.,Lorenz Meier,https://dblp.org/pid/99/9965.html,ICCV,2013
Live Metric 3D Reconstruction on Mobile Phones.,Federico Camposeco,https://dblp.org/pid/13/10540.html,ICCV,2013
Live Metric 3D Reconstruction on Mobile Phones.,Olivier Saurer,https://dblp.org/pid/91/1138.html,ICCV,2013
Live Metric 3D Reconstruction on Mobile Phones.,Marc Pollefeys,https://dblp.org/pid/p/MarcPollefeys.html,ICCV,2013
Joint Subspace Stabilization for Stereoscopic Video.,Feng Liu,https://dblp.org/pid/77/1318-15.html,ICCV,2013
Joint Subspace Stabilization for Stereoscopic Video.,Yuzhen Niu,https://dblp.org/pid/28/7442.html,ICCV,2013
Joint Subspace Stabilization for Stereoscopic Video.,Hailin Jin,https://dblp.org/pid/78/102.html,ICCV,2013
Video Synopsis by Heterogeneous Multi-source Correlation.,Xiatian Zhu,https://dblp.org/pid/128/7935.html,ICCV,2013
Video Synopsis by Heterogeneous Multi-source Correlation.,Chen Change Loy,https://dblp.org/pid/01/5855.html,ICCV,2013
Video Synopsis by Heterogeneous Multi-source Correlation.,Shaogang Gong,https://dblp.org/pid/17/4389.html,ICCV,2013
DCSH - Matching Patches in RGBD Images.,Yaron Eshet,https://dblp.org/pid/142/2788.html,ICCV,2013
DCSH - Matching Patches in RGBD Images.,Simon Korman,https://dblp.org/pid/13/10546.html,ICCV,2013
DCSH - Matching Patches in RGBD Images.,Eyal Ofek,https://dblp.org/pid/08/6576.html,ICCV,2013
DCSH - Matching Patches in RGBD Images.,Shai Avidan,https://dblp.org/pid/02/617.html,ICCV,2013
Scene Text Localization and Recognition with Oriented Stroke Detection.,Lukás Neumann,https://dblp.org/pid/241/6326.html,ICCV,2013
Scene Text Localization and Recognition with Oriented Stroke Detection.,Jiri Matas,https://dblp.org/pid/m/JiriMatas.html,ICCV,2013
Adapting Classification Cascades to New Domains.,Vidit Jain,https://dblp.org/pid/68/5650.html,ICCV,2013
Adapting Classification Cascades to New Domains.,Sachin Sudhakar Farfade,https://dblp.org/pid/142/2784.html,ICCV,2013
Deep Learning Identity-Preserving Face Space.,Zhenyao Zhu,https://dblp.org/pid/142/2453.html,ICCV,2013
Deep Learning Identity-Preserving Face Space.,Ping Luo,https://dblp.org/pid/54/4989-2.html,ICCV,2013
Deep Learning Identity-Preserving Face Space.,Xiaogang Wang,https://dblp.org/pid/91/6236-1.html,ICCV,2013
Deep Learning Identity-Preserving Face Space.,Xiaoou Tang,https://dblp.org/pid/04/5226.html,ICCV,2013
Multi-stage Contextual Deep Learning for Pedestrian Detection.,Xingyu Zeng,https://dblp.org/pid/135/4927.html,ICCV,2013
Multi-stage Contextual Deep Learning for Pedestrian Detection.,Wanli Ouyang,https://dblp.org/pid/17/7992.html,ICCV,2013
Multi-stage Contextual Deep Learning for Pedestrian Detection.,Xiaogang Wang,https://dblp.org/pid/91/6236-1.html,ICCV,2013
Unsupervised Random Forest Manifold Alignment for Lipreading.,Yuru Pei,https://dblp.org/pid/93/6606.html,ICCV,2013
Unsupervised Random Forest Manifold Alignment for Lipreading.,Tae-Kyun Kim,https://dblp.org/pid/28/787.html,ICCV,2013
Unsupervised Random Forest Manifold Alignment for Lipreading.,Hongbin Zha,https://dblp.org/pid/20/5020.html,ICCV,2013
Calibration-Free Gaze Estimation Using Human Gaze Patterns.,Fares Alnajar,https://dblp.org/pid/00/7918.html,ICCV,2013
Calibration-Free Gaze Estimation Using Human Gaze Patterns.,Theo Gevers,https://dblp.org/pid/12/6600.html,ICCV,2013
Calibration-Free Gaze Estimation Using Human Gaze Patterns.,Roberto Valenti,https://dblp.org/pid/11/4346.html,ICCV,2013
Calibration-Free Gaze Estimation Using Human Gaze Patterns.,Sennay Ghebreab,https://dblp.org/pid/93/5052.html,ICCV,2013
Partial Sum Minimization of Singular Values in RPCA for Low-Level Vision.,Tae Hyun Oh,https://dblp.org/pid/119/1450.html,ICCV,2013
Partial Sum Minimization of Singular Values in RPCA for Low-Level Vision.,Hyeongwoo Kim,https://dblp.org/pid/58/4700.html,ICCV,2013
Partial Sum Minimization of Singular Values in RPCA for Low-Level Vision.,Yu-Wing Tai,https://dblp.org/pid/40/566.html,ICCV,2013
Partial Sum Minimization of Singular Values in RPCA for Low-Level Vision.,Jean-Charles Bazin,https://dblp.org/pid/83/6046.html,ICCV,2013
Partial Sum Minimization of Singular Values in RPCA for Low-Level Vision.,In-So Kweon,https://dblp.org/pid/74/4917.html,ICCV,2013
