"conference_name","conference_year","unique_author_count"
WACV,2005,286
WACV,2007,157
WACV,2008,125
WACV,2009,235
WACV,2011,228
WACV,2012,123
WACV,2013,176
WACV,2014,371
WACV,2015,350
WACV,2016,444
WACV,2017,335
WACV,2018,575
WACV,2019,577
WACV,2020,1010
WACV,2021,1179
WACV,2022,1080
WACV,2023,1709
