"conference_name","conference_year","unique_author_count"
ICCV,2003,428
ICCV,2005,398
ICCV,2007,765
ICCV,2009,521
ICCV,2011,574
ICCV,2013,756
ICCV,2015,971
ICCV,2017,1194
ICCV,2019,2548
ICCV,2021,4063
