"Country Name","Top Author","Number of Papers by Country","Number of Authors from Country"
Vietnam,Minh Hoai,725,364
Singapore,Tat-Seng Chua,266,124
Thailand,Soravit Changpinyo,111,70
Philippines,Marcelo H. Ang,71,52
Malaysia,Loong-Fah Cheong,130,45
Indonesia,Robby T. Tan,124,43
Cambodia,Pheng-Ann Heng,52,12
Myanmar,Sai Bi,18,6
Brunei Darussalam,Ham M. Rara,3,2
Laos,Oudom Somphone,3,2
