"conference_name","conference_year","unique_author_count"
BMVC,2003,189
BMVC,2004,178
BMVC,2005,153
BMVC,2006,242
BMVC,2007,212
BMVC,2008,217
BMVC,2009,222
BMVC,2010,203
BMVC,2011,253
BMVC,2012,270
BMVC,2013,256
BMVC,2014,270
BMVC,2015,418
BMVC,2016,297
BMVC,2017,420
BMVC,2018,753
BMVC,2019,584
BMVC,2020,501
BMVC,2021,1223
BMVC,2022,984
